RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
61.464977,53,17,31,30,0.24681835,0.69249386,138.56485,1
61.33695,89,7,5,29.9,0.19854861,0.10676986,260.24207,1
57.508595,54,1,45,29.9,0.3786556,0.43074867,125.77073,1
63.840908,47,10,43,30.3,0.38677981,0.01835784,84.13767,1
61.003014,26,17,57,28.5,0.32812038,0.24549557,168.67332,1
58.366234,54,6,41,30,0.47785357,0.03266656,150.22566,1
58.127853,64,19,16,30.7,0.403104,0,93.096596,1
55.01956,35,40,25,30.8,0.39149576,0.004876056,81.26242,1
56.495754,39,1,60,29.8,0.4950069,0.007709474,143.84987,1
62.30198,65,15,20,29.8,0.45288667,0.11678755,163.18922,1
64.478714,66,6,27,30.3,0.49197277,0.30152667,160.38571,1
70.25558,77,1,22,29.2,0.23149025,1.3143861,119.86309,1
63.93895,70,25,5,28.4,0.4769356,0.44082606,117.90076,1
69.45817,35,57,8,27.1,0.42836303,0.6578959,157.68312,1
56.296204,77,0,23,26.2,0.41869667,0.10987487,170.81657,1
73.439354,100,0,0,25.7,0.46229547,0.18846337,171.5679,1
69.92669,71,0,29,26.5,0.14263299,0.34024477,181.89946,1
62.37429,17,78,5,27.1,0.5171565,1.0571209,643.83093,1
67.74032,35,60,5,30.1,0.69371086,0.6508262,415.60513,1
62.3832,58,32,10,25.7,0.49353564,0.13794291,253.8468,1
64.26862,48,1,51,25.2,0.40032178,0.012287958,212.47847,1
63.30045,99,0,1,27.5,-0.13627818,0.23198834,242.71458,1
64.89637,57,2,41,27.5,0.32026994,0.08142604,235.44255,1
65.57253,71,18,11,27.5,0.44608566,0.044248044,247.14255,1
55.532703,50,5,45,28.4,0.20367111,0.08252778,143.57697,1
57.403393,57,0,43,29.2,0.5000954,0.23679739,318.76416,1
61.11388,66,0,34,27.8,0.54255414,3.6009924,457.48267,1
54.8168,36,16,48,28.5,0.4491342,0.018613035,152.67671,1
54.343063,18,26,56,29.9,0.20996806,0.11830889,236.63824,1
66.348206,83,0,17,29.1,0.37798998,0.47280207,200.67375,1
59.991497,70,6,23,29.8,0.31346828,0.0497851,119.05915,1
59.418747,65,11,24,30.5,0.353258,0.06619706,149.45753,1
54.32952,57,0,43,30.9,0.46742997,0.42556345,233.09401,1
56.66264,54,39,8,30.4,0.14638668,0.24603857,142.03468,1
60.690876,50,11,38,29.8,0.4233179,1.0033259,177.89485,1
60.545418,95,0,5,30.6,0.16574132,0.28015167,132.13463,1
66.36885,71,2,27,29.6,0.42810664,0.044281922,133.85304,1
57.066246,63,1,36,30.2,0.4709465,0.15288477,158.23618,1
63.255093,84,0,16,29.5,0.24478984,0.13394612,78.186516,1
58.77385,68,30,3,29.5,0.40311515,0.007809248,109.5972,1
64.23322,77,0,22,26.3,0.5251886,0.476804,258.71158,1
73.64375,49,0,51,22.6,0.44489247,1.0854658,303.8615,1
55.371056,80,1,19,28.4,0.4325364,0.11268943,327.81387,1
58.88465,72,10,18,27.8,0.5225716,0.021004844,546.68024,1
